id,Name,Description,State,DefaultAction,Role,visible,is_keyboard_focusable,Control_Type,Top Position,Left Position,Length,Height,Area,has_children,has_invoke,has_selection,has_expand,has_selection_item,has_toggle,has_text,has_value,has_range_value,has_grid,has_grid_item,has_table,has_table_item,has_scroll_item,has_scroll,has_transform,has_transformV2,has_window,has_item_container,has_virtualized_item,IsMenu
11-255-88-277-110,Text color,,1048576,Press,62,True,True,SplitButton,96,263,22,22 ,484,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11-277-88-289-110,Text color,,1073741824,Open,58,True,False,Button,96,285,12,22 ,264,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-289-88-310-110,Text highlight color,,1048576,Press,62,True,True,SplitButton,96,297,21,22 ,462,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11-310-88-322-110,Text highlight color,,1073741824,Open,58,True,False,Button,96,318,12,22 ,264,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-382-59-405-81,Lists,,1048576,Press,62,True,True,SplitButton,67,390,23,22 ,506,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-405-59-417-81,Lists,,1073741824,Open,58,True,False,Button,67,413,12,22 ,264,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
11-465-51-507-89,Picture,Insert a picture from a file.,1048576,Press,62,True,True,SplitButton,59,473,42,38 ,1596,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True
11-465-89-507-117,Picture,,1073741824,Open,56,True,False,SplitButton,97,473,42,28 ,1176,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
0--8--8-1928-1048,Document - WordPad,,1048576,,10,True,True,Window,0,0,1936,1056 ,2044416,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False
1-0-23-1920-139,UIRibbonDockTop,,1048576,,10,True,True,Pane,31,8,1920,116 ,222720,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0--8-1920-139,,,1048577,,10,True,True,Pane,0,8,1920,147 ,282240,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-1014-1920-1040,,,1048576,,23,True,True,StatusBar,1022,8,1920,26 ,49920,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-139-1920-168,,,1048576,,10,True,True,Pane,147,8,1920,29 ,55680,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
1-0-168-1920-1014,Rich Text Window,,1048580,,15,True,True,Document,176,8,1920,846 ,1624320,False,False,False,False,False,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False
1-16--5-1920-26,,Displays the name of the window and contains controls to manipulate it,1048576,,1,True,True,TitleBar,3,24,1904,31 ,59024,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
2-0-23-1920-139,Ribbon,,1048576,,10,True,True,Pane,31,8,1920,116 ,222720,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
